Connected to server 127.0.0.1:8080
Type commands (LOGIN, CREATE, JOIN, LEAVE, LIST, STATUS, LOGOUT):
[SYS] Audio channel synced. Client ID: 0
[200] Login successful
0
[200] Room created successfully
[200] Joined room successfully
myroom
Audio sender started (UDP)
[DEBUG] Audio sender loop starting...
[DEBUG] Sent packet 99, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 100, read_bytes: 960, send res: 1044
[DEBUG] Received 50 audio packets from server.
[DEBUG] Sent packet 101, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 102, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 103, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 104, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 105, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 106, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 107, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 108, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 109, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 110, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 111, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 112, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 113, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 114, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 115, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 116, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 117, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 118, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 119, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 120, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 121, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 122, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 123, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 124, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 125, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 126, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 127, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 128, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 129, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 130, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 131, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 132, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 133, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 134, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 135, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 136, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 137, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 138, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 139, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 140, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 141, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 142, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 143, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 144, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 145, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 146, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 147, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 148, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 149, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 150, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 151, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 152, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 153, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 154, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 155, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 156, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 157, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 158, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 159, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 160, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 161, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 162, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 163, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 164, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 165, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 166, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 167, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 168, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 169, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 170, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 171, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 172, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 173, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 174, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 175, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 176, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 177, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 178, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 179, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 180, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 181, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 182, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 183, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 184, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 185, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 186, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 187, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 188, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 189, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 190, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 191, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 192, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 193, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 194, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 195, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 196, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 197, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 198, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 199, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 200, read_bytes: 960, send res: 1044
underrun!!! (at least 1777545795916.115 ms long)
[DEBUG] Sent packet 201, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 202, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 203, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 204, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 205, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 206, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 207, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 208, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 209, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 210, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 211, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 212, read_bytes: 960, send res: 1044
[DEBUG] Received 50 audio packets from server.
[DEBUG] Sent packet 213, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 214, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 215, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 216, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 217, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 218, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 219, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 220, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 221, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 222, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 223, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 224, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 225, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 226, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 227, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 228, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 229, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 230, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 231, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 232, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 233, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 234, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 235, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 236, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 237, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 238, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 239, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 240, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 241, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 242, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 243, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 244, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 245, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 246, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 247, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 248, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 249, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 250, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 251, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 252, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 253, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 254, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 255, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 256, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 257, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 258, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 259, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 260, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 261, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 262, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 263, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 264, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 265, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 266, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 267, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 268, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 269, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 270, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 271, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 272, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 273, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 274, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 275, read_bytes: 960, send res: 1044
[DEBUG] Sent packet 276, read_bytes: 960, send res: -1
